ground_truth,prediction1,accuracy1,prediction2,accuracy2,prediction3,accuracy3,prediction4,accuracy4,prediction5,accuracy5,,avg_accuracy
1.178,1.332868,86.85,1.380483,82.81,1.991514,30.94,1.278709,91.45,1.554539,68.04,,72.018
1.714,1.672597,97.58,1.568023,91.48,2.650981,45.33,1.497246,87.35,1.676307,97.8,,83.908
2.916,2.620809,89.88,2.965376,98.31,1.371409,47.03,3.277742,87.59,1.897499,65.07,,77.576
3.841,4.434836,84.54,3.821896,99.5,3.563456,92.77,3.373937,87.84,4.067904,94.09,,91.748
4.548,4.776264,94.98,4.619397,98.43,4.138588,91.0,4.969742,90.73,4.514686,99.27,,94.882
4.995,4.219651,84.48,4.271524,85.52,4.222392,84.53,3.071384,61.49,4.411908,88.33,,80.86999999999999
6.624,6.408853,96.75,4.441744,67.06,8.055,78.4,7.163445,91.86,6.381383,96.34,,86.082
8.06,8.552592,93.89,9.018497,88.11,8.68056,92.3,8.062819,99.97,8.727624,91.72,,93.19800000000001
9.086,8.347192,91.87,7.258923,79.89,7.10701,78.22,9.001084,99.07,8.0247,88.32,,87.47399999999999
10.565,12.36528,82.96,9.89171,93.63,11.0858,95.07,10.28822,97.38,10.49703,99.36,,93.67999999999999
13.254,11.87599,89.6,12.00694,90.59,12.14288,91.62,10.18916,76.88,16.10603,78.48,,85.434
15.794,13.46167,85.23,15.68935,99.34,13.19082,83.52,13.76682,87.16,14.6591,92.81,,89.612
16.934,15.91059,93.96,16.14128,95.32,14.83266,87.59,15.926,94.05,15.12851,89.34,,92.05199999999999
19.863,18.54523,93.37,22.65265,85.96,14.27444,71.86,20.11252,98.74,19.90858,99.77,,89.94
25.652,27.6579,92.18,26.01809,98.57,25.59427,99.77,23.81621,92.84,25.66633,99.94,,96.66
36.546,34.37109,94.05,36.57696,99.92,36.57835,99.91,35.13303,96.13,36.67393,99.65,,97.93199999999999
44.44,41.56392,93.53,57.61836,70.35,52.26128,82.4,62.17228,60.1,44.42389,99.96,,81.268
60.516,61.72337,98.0,61.71639,98.02,62.94863,95.98,63.31272,95.38,62.94913,95.98,,96.672
69.67,79.86406,85.37,76.90675,89.61,70.13139,99.34,74.95808,92.41,78.79324,86.91,,90.728
78.762,78.8595,99.88,80.23823,98.13,78.25799,99.36,80.35571,97.98,78.51757,99.69,,99.00800000000001
88.668,87.69339,98.9,91.77792,96.49,88.57883,99.9,89.9482,98.56,88.5627,99.88,,98.746
98.866,96.20451,97.31,96.66974,97.78,97.89973,99.02,95.89509,97.0,99.2949,99.57,,98.136
109.682,110.0669,99.65,110.8445,98.94,93.0154,84.8,111.8047,98.06,110.2011,99.53,,96.196
119.504,121.9765,97.93,115.9969,97.07,128.5531,92.43,122.4346,97.55,127.0363,93.7,,95.736
131.956,131.211,99.44,135.8168,97.07,128.5273,97.4,126.8677,96.14,127.0642,96.29,,97.268
141.178,130.4911,92.43,137.5684,97.44,135.0337,95.65,136.3335,96.57,132.8238,94.08,,95.234
149.003,148.7544,99.83,157.4835,94.31,147.1105,98.73,148.8123,99.87,140.347,94.19,,97.386
160.354,158.4672,98.82,157.9213,98.48,160.3959,99.97,154.0,96.04,157.5778,98.27,,98.316
168.124,165.1129,98.21,164.3639,97.76,169.1745,99.38,160.6476,95.55,162.9608,96.93,,97.566
181.327,177.6828,97.99,175.7253,96.91,178.2938,98.33,174.5803,96.28,163.661,90.26,,95.954
185.641,190.2384,97.52,188.7195,98.34,184.2871,99.27,187.524,98.99,183.3801,98.78,,98.58
197.753,195.4023,98.81,192.5747,97.38,198.7574,99.49,187.6372,94.88,197.3452,99.79,,98.07000000000001
